Category,Name,Location,Phone Number,Alternative Phone
,Miscellaneous,Unknown,Unknown,
,Ag Equipment,Unknown,Unknown,
,Honey Bee Nucs,Unknown,Unknown,386-462-2406 
,Baked Goods,Unknown,Unknown,352-339-6419 
,Cheeses,Unknown,Unknown,
,Cypress Point Creamery,Hawthorne,352-481-5207,
,Cottage Foods,Unknown,Unknown,386-462-2889 ; 352-682-2728
,Eggs,Unknown,Unknown,352-475-2015 ; 352-468-3816 ; 386-462-2889 ; 352-682-2728
,Firewood,Unknown,Unknown,386-462-2889 ; 352-682-2728
,Forage Establishment / Sprigging,Unknown,Unknown,
,"Andrews, W.D.",Brooker,352-485-1777,352-316-3330
,Garden Preparation / Tilling / Installation,Unknown,Unknown,
,Bamboo Stakes,Unknown,Unknown,386-462-2820 ; 800-669-2067
,Compost,Unknown,Unknown,352-346-9216 ; 352-372-9965 
,-1-,Unknown,Unknown,
,,,352-472-3414 ,
,Grow Tubes,Unknown,Unknown,386-462-2820 ; 800-669-2067
,Mulch,Unknown,Unknown,
,Blooming House Nursery,Gainesville,352-520-9004,352-372-9965 ; 352-472-3699 ; 352-472-3414 
,Nursery Fabric Products,Unknown,Unknown,386-462-2820 ; 800-669-2067
,Potting Soil,Unknown,Unknown,
,Blooming House Nursery,Gainesville,352-520-9004,352-372-9965 
,Honey,Unknown,Unknown,386-462-2406 
,Jam & Jellies,Unknown,Unknown,386-462-2889 ; 352-682-2728
,Peanuts,Unknown,Unknown,352-595-5591 
,Seed,Unknown,Unknown,
,Working Food,Gainesville,352-260-4458,
,Sugar Cane/Cane Syrup,Unknown,Unknown,352-468-3816 
,Tractor Service,Unknown,Unknown,352-494-4076 ; 352-494-4480
,-2-,Unknown,Unknown,
