Category,Name,Location,Phone Number
,Ornamentals,Unknown,Unknown
,Aloe,Unknown,Unknown
,Blooming House Nursery,Gainesville,352-520-9004
,PJ's Plants & Things,Alachua,386-462-2889
,,Unknown,352-682-2728
,Amaryllis/Iris/Other Bulbs,Unknown,Unknown
,Garden Gate Nursery,Gainesville,352-376-4922
,Grassroots Nursery,Gainesville,352-215-7226
,Natural Treasures Farm & Nursery,Trenton,352-225-1381
,TNT Nursery LLC,Gainesville,352-332-7774
,Bamboo,Unknown,Unknown
,Garden Gate Nursery,Gainesville,352-376-4922
,Grassroots Nursery,Gainesville,352-215-7226
,Landscapes Unlimited Nursery,Alachua,386-462-7752
,TNT Nursery LLC,Gainesville,352-332-7774
,Cycads (Sago/Coontie/Etc),Unknown,Unknown
,Blooming House Nursery,Gainesville,352-520-9004
,Landscapes Unlimited Nursery,Alachua,386-462-7752
,TNT Nursery LLC,Gainesville,352-332-7774
,Daylilies,Unknown,Unknown
,Garden Gate Nursery,Gainesville,352-376-4922
,Landscapes Unlimited Nursery,Alachua,386-462-7752
,TNT Nursery LLC,Gainesville,352-332-7774
,-1-,Unknown,Unknown
,Ferns,Unknown,Unknown
,Blooming House Nursery,Gainesville,352-520-9004
,Garden Gate Nursery,Gainesville,352-376-4922
,Landscapes Unlimited Nursery,Alachua,386-462-7752
,Natural Treasures Farm & Nursery,Trenton,352-225-1381
,TNT Nursery LLC,Gainesville,352-332-7774
,Flowering Trees,Unknown,Unknown
,Blooming House Nursery,Gainesville,352-520-9004
,Chestnut Hill Nursery,Alachua,386-462-2820
,,Unknown,800-669-2067
,Garden Gate Nursery,Gainesville,352-376-4922
,Landscapes Unlimited Nursery,Alachua,386-462-7752
,Natural Treasures Farm & Nursery,Trenton,352-225-1381
,Newberry Farms,Newberry,813-765-2377
,The Greenhouse Nursery,Newberry,352-472-3699
,TNT Nursery LLC,Gainesville,352-332-7774
,Flowers (Annual),Unknown,Unknown
,Blooming House Nursery,Gainesville,352-520-9004
,Blue Star Nursery,Hawthorne,352-481-3300
,Garden Gate Nursery,Gainesville,352-376-4922
,The Greenhouse Nursery,Newberry,352-472-3699
,Flowers (Perennial),Unknown,Unknown
,Blooming House Nursery,Gainesville,352-520-9004
,-2-,Unknown,Unknown
,Blue Star Nursery,Hawthorne,352-481-3300
,Garden Gate Nursery,Gainesville,352-376-4922
