Category,Name,Location,Phone Number,Alternative Phone
,Ornamentals,Unknown,Unknown,
,Aloe,Unknown,Unknown,352-520-9004 ,386-462-2889 ,352-682-2728
,Amaryllis/Iris/Other Bulbs,Unknown,Unknown,352-376-4922 ,352-215-7226 ,352-225-1381 
,TNT Nursery LLC,Gainesville,352-332-7774,
,Bamboo,Unknown,Unknown,352-376-4922 
,Grassroots Nursery,Gainesville,352-215-7226,
,Landscapes Unlimited Nursery,Alachua,386-462-7752,
,TNT Nursery LLC,Gainesville,352-332-7774,
,Cycads (Sago/Coontie/Etc),Unknown,Unknown,352-520-9004 
,Landscapes Unlimited Nursery,Alachua,386-462-7752,
,TNT Nursery LLC,Gainesville,352-332-7774,
,Daylilies,Unknown,Unknown,352-376-4922 
,Landscapes Unlimited Nursery,Alachua,386-462-7752,
,TNT Nursery LLC,Gainesville,352-332-7774,
,-1-,Unknown,Unknown,
,Ferns,Unknown,Unknown,352-520-9004 ,352-376-4922 
,Landscapes Unlimited Nursery,Alachua,386-462-7752,352-225-1381 
,TNT Nursery LLC,Gainesville,352-332-7774,
,Flowering Trees,Unknown,Unknown,352-520-9004 ,386-462-2820 ,800-669-2067,352-376-4922 
,Landscapes Unlimited Nursery,Alachua,386-462-7752,352-225-1381 ,813-765-2377 ,352-472-3699 
,TNT Nursery LLC,Gainesville,352-332-7774,
,Flowers (Annual),Unknown,Unknown,352-520-9004 
,Blue Star Nursery,Hawthorne,352-481-3300,
,Garden Gate Nursery,Gainesville,352-376-4922,352-472-3699 
,Flowers (Perennial),Unknown,Unknown,352-520-9004 
,-2-,Unknown,Unknown,
,Blue Star Nursery,Hawthorne,352-481-3300,
,Garden Gate Nursery,Gainesville,352-376-4922,
,Grassroots Nursery,Gainesville,352-215-7226,
,Landscapes Unlimited Nursery,Alachua,386-462-7752,352-225-1381 ,386-462-2889 ,352-682-2728,352-472-3699 
,TNT Nursery LLC,Gainesville,352-332-7774,
,Flowers (Wildflowers),Unknown,Unknown,352-225-1381 
,Ginger,Unknown,Unknown,
,Landscapes Unlimited Nursery,Alachua,386-462-7752,352-225-1381 
,TNT Nursery LLC,Gainesville,352-332-7774,
,Ground Covers,Unknown,Unknown,352-520-9004 ,352-481-3300 
,Garden Gate Nursery,Gainesville,352-376-4922,
,Grassroots Nursery,Gainesville,352-215-7226,
,Landscapes Unlimited Nursery,Alachua,386-462-7752,352-225-1381 ,386-462-2889 ,352-682-2728
,-3-,Unknown,Unknown,
,TNT Nursery LLC,Gainesville,352-332-7774,
,Houseplants,Unknown,Unknown,
,Garden Gate Nursery,Gainesville,352-376-4922,
,Landscapes Unlimited Nursery,Alachua,386-462-7752,
,Local Christmas Tree Growers,Unknown,Unknown,386-418-8031 ,352-474-1885
,Mondo Grass,Unknown,Unknown,352-376-4922 ,352-215-7226 
,Landscapes Unlimited Nursery,Alachua,386-462-7752,
,TNT Nursery LLC,Gainesville,352-332-7774,
,Native and Landscape Trees,Unknown,Unknown,
,Chestnut Hill Nursery,Alachua,386-462-2820,800-669-2067,352-475-5413 
,Landscapes Unlimited Nursery,Alachua,386-462-7752,352-225-1381 ,386-462-2889 ,352-682-2728
,TNT Nursery LLC,Gainesville,352-332-7774,
,Native Plants/Shrubs,Unknown,Unknown,352-520-9004 ,352-475-5413 ,352-376-4922 
,-4-,Unknown,Unknown,
,Landscapes Unlimited Nursery,Alachua,386-462-7752,352-225-1381 ,386-462-2889 ,352-682-2728
,TNT Nursery LLC,Gainesville,352-332-7774,
,"West, Elaine",Melrose,352-262-7313,
,Palms,Unknown,Unknown,352-520-9004 ,352-376-4922 
,Landscapes Unlimited Nursery,Alachua,386-462-7752,352-225-1381 
,TNT Nursery LLC,Gainesville,352-332-7774,
,Poinsettias,Unknown,Unknown,
,Blue Star Nursery,Hawthorne,352-481-3300,
,Pollinator/Wildlife Attracting Plants,Unknown,Unknown,352-520-9004 ,352-481-3300 
,Chestnut Hill Nursery,Alachua,386-462-2820,800-669-2067,352-376-4922 ,352-215-7226 
,Landscapes Unlimited Nursery,Alachua,386-462-7752,352-225-1381 ,386-462-2889 ,352-682-2728
,-5-,Unknown,Unknown,
,TNT Nursery LLC,Gainesville,352-332-7774,
,"West, Elaine",Melrose,352-262-7313,
,Roses,Unknown,Unknown,352-520-9004 
,Garden Gate Nursery,Gainesville,352-376-4922,352-215-7226 ,352-225-1381 
,Rose Petals Nursery,Newberry,352-278-6399,352-215-6399
,TNT Nursery LLC,Gainesville,352-332-7774,
,Shrubs,Unknown,Unknown,352-520-9004 
,Blue Star Nursery,Hawthorne,352-481-3300,352-376-4922 ,352-215-7226 
,Landscapes Unlimited Nursery,Alachua,386-462-7752,352-225-1381 ,386-462-2889 ,352-682-2728,352-472-3699 
,TNT Nursery LLC,Gainesville,352-332-7774,
,Sod/Grass Seed,Unknown,Unknown,
,Boyd & Sons Sod Farm,Newberry,352-472-2616,
,Smith & Sons Sod Company Lake,Butler,386-755-4328,
,-6-,Unknown,Unknown,
,Succulents,Unknown,Unknown,352-376-4922 ,352-472-3699 
,Trees,Unknown,Unknown,352-520-9004 
,Chestnut Hill Nursery,Alachua,386-462-2820,800-669-2067,352-376-4922 
,Landscapes Unlimited Nursery,Alachua,386-462-7752,352-225-1381 ,813-765-2377 ,352-472-3699 
,TNT Nursery LLC,Gainesville,352-332-7774,
,-7-,Unknown,Unknown,
