Category,Name,Location,Phone Number
,Livestock,Unknown,Unknown
,Cattle,Unknown,Unknown
,Heart of Florida Farms,Alachua,352-215-8796
,Johnson Farm Services,Hawthorne,352-494-4076
,,Unknown,352-494-4480
,Marvel Farms High,Springs,352-226-0537
,Santa Fe River Ranch,Alachua,352-538-1814
,"Sullivan Farms, LLC.",Alachua,352-215-1018
,"West, Elaine",Melrose,352-262-7313
,Goats-Nubian/Grade/Boer,Unknown,Unknown
,Natural Treasures Farm & Nursery,Trenton,352-225-1381
,Salva Farms LLC,Archer,321-305-9140
,Silhouette Farm,Newberry,352-316-2427
,Horses/Donkeys,Unknown,Unknown
,Best Friends Farm Miniature Donkeys,Gainesville,352-339-3908
,,Unknown,352-333-3819
,Pigs,Unknown,Unknown
,Cedar Acres KuneKune Farm,Hawthorne,407-619-4018
,Natural Treasures Farm & Nursery,Trenton,352-225-1381
,Poultry,Unknown,Unknown
,Chickens,Unknown,Unknown
,Hyldemoer & Co LLC,Williston,352-362-4270
,Quail,Unknown,Unknown
,Silhouette Farm,Newberry,352-316-2427
,Sheep,Unknown,Unknown
,-1-,Unknown,Unknown
,EBH,Plantation,Call
,Salva Farms LLC,Archer,321-305-9140
,Silhouette Farm,Newberry,352-316-2427
,-2-,Unknown,Unknown
